"Ticker","Nome","Negócios","Última (R$)","Variação"
"COGN3","Cogna","109.405.800","1,36","-4,23%"
"HAPV3","Hapvida","96.264.900","3,19","-3,33%"
"MGLU3","Magazine Luiza","60.470.900","9,60","+2,35%"
"B3SA3","B3","58.652.500","10,31","-3,73%"
"LREN3","Lojas Renner","53.665.300","16,97","-6,14%"
"PETR4","Petrobras","49.865.100","36,18","+1,89%"
"VALE3","Vale","48.764.700","60,63","-4,61%"
"BBDC4","Banco Bradesco","44.207.900","13,51","-1,10%"
"ITSA4","Itaúsa","35.277.700","10,69","-1,84%"
"ABEV3","Ambev","35.013.400","12,33","-1,75%"
"ASAI3","Assaí","34.800.800","7,01","-2,91%"
"PDGR3","PDG Realty","26.826.200","0,01","+0,00%"
"RAIL3","Rumo","25.591.900","19,45","-3,23%"
"ITUB4","Itaú Unibanco","23.166.800","35,08","-1,57%"
"ALPA4","Alpargatas","22.268.500","6,53","-7,90%"
"EMBR3","Embraer","22.074.000","53,79","+7,47%"
"USIM5","Usiminas","20.574.400","6,25","-6,02%"
"PETZ3","Petz","19.680.100","4,89","-2,20%"
"RAIZ4","Raízen","19.310.100","2,69","-4,27%"
"GGBR4","Gerdau","18.648.000","20,46","-0,20%"
"AZUL4","Azul","18.092.900","5,11","-0,20%"
"CPLE6","Copel","17.847.200","9,38","-1,57%"
"MRVE3","MRV","17.601.600","6,93","-1,98%"
"PCAR3","Grupo Pão de Açúcar","17.109.700","2,93","-3,93%"
"ANIM3","Ânima Educação","17.018.600","2,34","-4,10%"
"NTCO3","Natura","15.917.900","14,53","+2,90%"
"BBAS3","Banco do Brasil","15.878.800","25,99","-0,76%"
"AMER3","Americanas","14.608.700","3,13","-3,40%"
"CMIG4","Cemig","13.682.100","11,29","-0,70%"
"IFCM3","Infracommerce","13.372.500","0,12","-14,29%"
"PETR3","Petrobras","13.215.800","39,08","+1,82%"
"CMIN3","CSN Mineração","13.064.900","5,85","-5,49%"
"RENT3","Localiza","13.034.600","40,90","-2,73%"
"CCRO3","Grupo CCR","12.876.900","11,69","-3,15%"
"ELET3","Eletrobras","12.055.000","35,64","-1,05%"
"CSAN3","Cosan","12.046.500","11,67","-3,15%"
"CVCB3","CVC","12.006.600","2,04","-1,45%"
"ENEV3","Eneva","11.757.700","12,30","-1,52%"
"GOAU4","Metalúrgica Gerdau","11.665.400","11,49","-0,95%"
"MOVI3","Movida","10.655.800","6,38","-2,74%"
"RADL3","RaiaDrogasil","10.600.400","25,45","-0,66%"
"BBDC3","Banco Bradesco","10.585.900","12,04","-1,07%"
"BRAP4","Bradespar","10.069.000","19,36","-4,25%"
"VAMO3","Grupo Vamos","10.054.800","5,71","-1,89%"
"CSNA3","Siderúrgica Nacional","9.913.700","11,75","-4,39%"
"CBAV3","CBA","9.774.900","5,38","-11,07%"
"HYPE3","Hypera","9.637.200","20,95","-2,65%"
"EQTL3","Equatorial Energia","9.484.500","31,42","-0,85%"
"POMO4","Marcopolo","9.368.000","8,88","+2,78%"
"LWSA3","Locaweb","9.103.400","4,30","-2,05%"
"BRAV3","3R Petroleum","8.785.500","16,26","-4,30%"
"PRIO3","PetroRio","8.760.400","38,97","-2,36%"
"BEEF3","Minerva","8.697.400","5,39","-3,23%"
"CRFB3","Carrefour Brasil","8.685.100","6,95","-2,11%"
"VBBR3","Vibra Energia","8.640.400","22,45","+0,18%"
"YDUQ3","YDUQS","7.797.100","10,23","-1,35%"
"RECV3","PetroRecôncavo","7.752.600","17,63","+2,62%"
"FLRY3","Fleury","7.408.600","13,60","-5,75%"
"VIVA3","Vivara","7.183.400","25,58","+2,53%"
"WEGE3","WEG","7.160.900","55,09","-1,22%"
"STBP3","Santos Brasil","6.964.200","12,73","-0,08%"
"JBSS3","JBS","6.850.100","34,97","-2,48%"
"UGPA3","Ultrapar","6.526.200","20,53","-1,39%"
"TIMS3","TIM","6.493.500","15,91","-1,06%"
"KLBN11","Klabin","5.948.200","20,70","-2,45%"
"GFSA3","Gafisa","5.925.800","1,49","-0,67%"
"BRFS3","BRF","5.873.800","24,10","-2,19%"
"TOTS3","Totvs","5.849.600","30,86","-0,87%"
"ENGI11","Energisa","5.798.600","41,25","-1,95%"
"CXSE3","Caixa Seguridade","5.695.300","14,11","-0,56%"
"CPLE3","Copel","5.602.100","8,38","-0,83%"
"SUZB3","Suzano","5.585.800","58,40","-0,83%"
"BPAC11","Banco BTG Pactual","5.568.200","32,50","-1,72%"
"PORT3","Wilson Sons","5.458.900","15,80","-0,50%"
"AURE3","Auren Energia","5.265.200","10,17","+0,20%"
"BRKM5","Braskem","5.257.400","15,75","-3,73%"
"RCSL4","Recrusul","5.211.700","1,89","+0,00%"
"ONCO3","Oncoclínicas","5.157.500","4,44","+0,00%"
"ECOR3","EcoRodovias","5.114.100","6,74","-3,30%"
"RDOR3","Rede D'Or","4.998.700","28,68","-1,31%"
"TEND3","Construtora Tenda","4.913.400","16,31","-1,09%"
"LJQQ3","Lojas Quero-Quero","4.809.900","2,78","-2,11%"
"QUAL3","Qualicorp","4.770.600","2,27","+0,44%"
"CLSA3","ClearSale","4.642.700","9,77","+1,03%"
"BBSE3","BB Seguridade","4.543.200","34,29","-1,47%"
"DXCO3","Dexco","4.511.800","7,94","-3,17%"
"ALOS3","Allos","4.488.900","21,73","-1,32%"
"SIMH3","Simpar","4.246.900","5,15","-2,83%"
"MRFG3","Marfrig","4.069.900","15,10","-3,33%"
"TAEE11","Taesa","4.054.400","34,94","+0,32%"
"GOLL4","GOL","4.015.800","1,14","+2,70%"
"HBSA3","Hidrovias do Brasil","4.015.400","3,25","-0,91%"
"NEOE3","Neoenergia","3.659.600","19,47","+0,62%"
"CYRE3","Cyrela","3.644.100","21,50","-1,10%"
"SBSP3","Sabesp","3.411.200","89,37","-0,85%"
"DIRR3","Direcional","3.242.200","30,48","+1,26%"
"CEAB3","C&A","3.180.500","12,76","+1,27%"
"TRPL4","Transmissão Paulista","3.021.600","24,37","+0,29%"
"PSSA3","Porto Seguro","2.987.100","38,58","+0,57%"
"SRNA3","Serena Energia","2.895.500","7,34","-1,48%"
"EZTC3","EZTEC","2.887.600","14,23","-0,84%"
"SBFG3","Grupo SBF","2.871.800","13,60","-2,09%"
"BHIA3","Casas Bahia","2.750.100","4,05","-1,22%"
"GMAT3","Grupo Mateus","2.608.700","7,37","-0,67%"
"GUAR3","Guararapes","2.607.800","8,34","-1,53%"
"SMFT3","Smart Fit","2.543.700","20,45","-1,68%"
"IGTI11","Iguatemi","2.540.200","20,10","-2,00%"
"IGTI11","Jereissati Participações","2.540.200","20,10","-2,00%"
"SANB11","Banco Santander","2.533.100","26,68","-1,22%"
"MLAS3","Multilaser","2.506.700","1,52","-1,94%"
"MYPK3","Iochpe-Maxion","2.473.700","11,09","+1,28%"
"BPAN4","Banco Pan","2.370.300","8,00","-0,12%"
"JHSF3","JHSF","2.358.200","4,54","+0,22%"
"MULT3","Multiplan","2.353.600","24,68","-0,84%"
"MILS3","Mills","2.260.700","10,00","-2,63%"
"AZZA3","Arezzo","2.244.600","40,25","-0,30%"
"ELET6","Eletrobras","2.146.600","40,16","-0,57%"
"KLBN4","Klabin","2.069.500","4,13","-2,36%"
"VIVT3","Vivo","1.987.900","52,00","-2,51%"
"SLCE3","SLC Agrícola","1.935.300","17,35","-0,69%"
"BRSR6","Banrisul","1.866.000","11,19","+0,18%"
"VVEO3","Viveo","1.854.200","2,35","-2,08%"
"SAPR4","Sanepar","1.765.300","5,27","+0,38%"
"CSMG3","COPASA","1.729.200","23,26","+0,65%"
"GGPS3","GPS","1.645.700","16,71","-0,59%"
"ORVR3","Orizon","1.562.300","46,49","-1,40%"
"MDIA3","M. Dias Branco","1.534.400","25,26","-3,14%"
"EGIE3","Engie","1.505.600","40,27","-0,35%"
"MTRE3","Mitre Realty","1.459.500","3,65","-0,27%"
"POSI3","Positivo","1.450.900","5,90","-3,28%"
"INTB3","Intelbras","1.449.100","17,29","-2,26%"
"ALUP11","Alupar","1.436.800","28,61","-1,17%"
"AZEV4","Azevedo & Travassos","1.418.200","1,15","-0,86%"
"RAPT4","Randon","1.391.600","10,47","-2,24%"
"EVEN3","Even","1.377.300","5,81","-1,53%"
"CPFE3","CPFL Energia","1.364.900","32,37","+0,06%"
"VLID3","Valid","1.363.600","25,34","+7,97%"
"KEPL3","Kepler Weber","1.298.400","9,95","-2,74%"
"ABCB4","Banco ABC Brasil","1.268.900","20,57","+0,05%"
"SMTO3","São Martinho","1.256.100","25,37","-0,63%"
"DASA3","Dasa","1.207.000","2,48","-3,88%"
"HBRE3","HBR Realty","1.149.200","4,41","-0,90%"
"RCSL3","Recrusul","1.032.400","4,22","+0,00%"
"PLPL3","Plano&Plano","1.012.300","13,05","-1,14%"
"ZAMP3","Zamp","1.011.100","2,62","+5,65%"
"PGMN3","Pague Menos","995.700","3,17","-4,23%"
"GRND3","Grendene","995.400","5,28","-0,75%"
"CSED3","Cruzeiro do Sul Educacional","994.000","3,18","-4,22%"
"CURY3","Cury","969.700","22,70","-0,57%"
"WIZC3","Wiz Soluções","947.500","5,84","-0,17%"
"SAPR11","Sanepar","904.500","25,97","-0,12%"
"TTEN3","3tentos","898.900","11,86","-1,25%"
"PRNR3","Priner","871.100","14,52","-2,09%"
"BMGB4","Banco BMG","832.400","4,02","-0,74%"
"ARML3","Armac","804.600","7,32","-4,69%"
"JFEN3","João Fortes","799.600","4,40","-4,35%"
"IRBR3","IRB Brasil RE","791.900","40,79","-0,24%"
"OIBR3","Oi","784.900","4,12","-2,14%"
"MDNE3","Moura Dubeux","769.700","16,25","-1,16%"
"RANI3","Irani","760.900","7,12","-1,39%"
"SEQL3","Sequoia Logística","742.300","3,75","-2,09%"
"TRIS3","Trisul","739.900","5,53","+0,55%"
"SEER3","Ser Educacional","720.200","7,13","-0,42%"
"JSLG3","JSL","715.700","7,70","-1,28%"
"VULC3","Vulcabras","688.000","16,30","-0,91%"
"CASH3","Méliuz","654.200","3,42","-3,39%"
"PTBL3","Portobello","631.900","4,03","-1,23%"
"HBOR3","Helbor","623.900","1,82","-1,62%"
"ODPV3","Odontoprev","606.200","11,34","+0,00%"
"JALL3","Jalles Machado","603.500","5,85","-1,02%"
"POMO3","Marcopolo","596.900","6,67","+2,93%"
"USIM3","Usiminas","594.500","6,18","-4,92%"
"OPCT3","OceanPact","578.800","6,16","+3,01%"
"LEVE3","Mahle Metal Leve","572.600","29,85","+0,64%"
"FESA4","Ferbasa","572.500","7,70","-1,79%"
"LAVV3","Lavvi Incorporadora","569.800","8,87","+0,68%"
"MELK3","Melnick","565.900","3,52","-1,68%"
"BMOB3","Bemobi","565.700","14,57","-0,95%"
"BLAU3","Blau Farmacêutica","559.600","15,23","-5,70%"
"SHUL4","Schulz","487.800","6,05","-0,98%"
"AERI3","Aeris Energy","485.000","5,53","-4,66%"
"TUPY3","Tupy","455.900","23,67","-0,75%"
"MEAL3","IMC Alimentação","443.800","1,32","-0,75%"
"ESPA3","Espaçolaser","422.200","1,03","-0,96%"
"FIQE3","Unifique","390.000","3,79","-1,04%"
"KLBN3","Klabin","384.600","4,18","-1,65%"
"ETER3","Eternit","379.700","5,30","+1,34%"
"MATD3","Mater Dei","376.600","4,43","+6,75%"
"ITUB3","Itaú Unibanco","374.200","30,43","-1,33%"
"ROMI3","Indústrias ROMI","370.800","9,58","-2,15%"
"BRBI11","BR Partners","368.900","15,15","+0,66%"
"ELMD3","Eletromidia","363.400","26,65","+0,38%"
"ALLD3","Allied","359.700","8,30","+8,64%"
"SOJA3","Boa Safra Sementes","354.700","12,27","-1,84%"
"TGMA3","Tegma","352.200","31,09","+1,20%"
"CAML3","Camil Alimentos","347.200","7,84","-0,88%"
"LOGG3","LOG CP","346.000","23,36","+0,09%"
"TRAD3","Traders Club","340.900","7,48","+7,63%"
"PNVL3","Dimed","335.500","9,92","-1,00%"
"TASA4","Taurus","333.400","10,23","-2,11%"
"PFRM3","Profarma","328.200","7,47","+0,00%"
"AMAR3","Lojas Marisa","308.500","0,93","+0,00%"
"SAPR3","Sanepar","302.400","4,97","-0,20%"
"FRAS3","Fras-le","274.100","20,80","-1,61%"
"PMAM3","Paranapanema","268.600","1,05","+3,96%"
"GGBR3","Gerdau","256.700","19,42","-3,19%"
"AGRO3","BrasilAgro","253.200","23,85","+1,06%"
"AZEV3","Azevedo & Travassos","248.600","1,16","-1,69%"
"TAEE4","Taesa","247.700","11,73","+0,09%"
"LIGT3","Light","243.700","4,92","-0,61%"
"SYNE3","SYN","242.800","8,65","-0,92%"
"UNIP6","Unipar","229.700","44,50","-1,16%"
"ENJU3","Enjoei","223.100","1,31","+0,00%"
"CMIG3","Cemig","218.100","14,41","-0,35%"
"ITSA3","Itaúsa","208.400","10,74","-1,10%"
"AMBP3","Ambipar","206.000","158,00","+5,74%"
"BRIT3","Brisanet","188.000","3,30","+1,23%"
"ALPK3","Estapar","176.700","2,83","-0,70%"
"TPIS3","Triunfo","168.700","6,91","+0,29%"
"LUPA3","Lupatech","164.100","1,39","-0,71%"
"DESK3","Desktop","159.400","13,75","-0,72%"
"LPSB3","Lopes","151.200","1,65","-2,94%"
"PINE4","Banco Pine","142.900","4,60","+1,10%"
"VITT3","Vittia","139.900","5,40","-2,00%"
"TFCO4","Track & Field","138.000","9,94","-1,29%"
"IGTI3","Iguatemi","136.400","2,48","+1,22%"
"IGTI3","Jereissati Participações","136.400","2,48","+1,22%"
"BRAP3","Bradespar","129.300","18,08","-1,79%"
"TAEE3","Taesa","127.500","11,64","-0,09%"
"SANB4","Banco Santander","117.500","14,08","-1,05%"
"CSUD3","CSU Cardsystem","110.300","15,93","-3,92%"
"VTRU3","VITRUBREPCOM","109.700","8,77","+1,15%"
"SANB3","Banco Santander","105.800","12,73","-0,70%"
"AGXY3","AgroGalaxy","101.100","0,42","-4,55%"
"DMVF3","D1000 Varejo Farma","98.500","7,00","-2,91%"
"MBLY3","Mobly","92.300","1,95","-1,02%"
"ATOM3","ATOM","84.000","3,59","+0,00%"
"TCSA3","Tecnisa","83.100","1,38","-4,17%"
"RDNI3","RNI","81.200","2,80","-9,39%"
"VIVR3","Viver","79.900","1,45","+0,69%"
"DEXP3","Dexxos","77.900","8,61","-0,46%"
"SHOW3","Time For Fun","74.900","0,89","-1,11%"
"RSID3","Rossi Residencial","72.900","3,26","+2,84%"
"NGRD3","Neogrid","71.000","26,86","+7,48%"
"RNEW4","Renova Energia","70.500","1,10","+0,92%"
"GOAU3","Metalúrgica Gerdau","70.400","10,95","-1,26%"
"BIOM3","Biomm","65.200","10,10","+1,51%"
"OIBR4","Oi","64.500","11,85","+7,24%"
"KRSA3","Kora Saúde","59.800","6,41","+1,75%"
"RNEW3","Renova Energia","57.800","1,08","+0,93%"
"SCAR3","São Carlos","55.800","20,80","-0,95%"
"LOGN3","Log-In","55.600","24,71","+0,86%"
"EALT4","Electro Aço Altona","44.400","14,97","+4,69%"
"AMAR11","Lojas Marisa","38.100","0,27","-3,57%"
"RAPT3","Randon","37.700","9,32","-0,85%"
"CAMB3","Cambuci","36.600","11,55","+2,67%"
"EUCA4","Eucatex","33.500","14,06","+0,36%"
"BMEB4","Banco Mercantil do Brasil","32.300","38,69","-1,73%"
"BOBR4","Bombril","32.100","2,68","+0,00%"
"WEST3","Westwing","31.900","0,78","+0,00%"
"PDTC3","Padtec","31.700","1,79","+0,00%"
"BRKM3","Braskem","29.700","15,79","-1,93%"
"TECN3","Technos","29.100","5,24","+3,76%"
"VSTE3","LE LIS BLANC","24.700","10,01","-2,63%"
"OSXB3","OSX Brasil","23.000","5,11","+2,40%"
"UCAS3","Unicasa","20.500","2,17","+2,36%"
"DOTZ3","Dotz","18.600","5,29","+2,52%"
"LAND3","Terra Santa","17.700","12,23","-0,16%"
"NUTR3","Nutriplant","16.000","3,75","-0,27%"
"CEBR6","CEB","15.600","18,01","-0,66%"
"ENGI4","Energisa","15.600","7,39","+1,93%"
"ALUP4","Alupar","15.300","9,39","-0,11%"
"BEES3","Banestes","15.300","8,49","-0,12%"
